srcStateName,srcSubDistrictName,srcYear,Yeild of Tur,Yeild of Horse Gram,Yeild of Black Gram,Yeild of Green Gram,Yeild of Avare,Yeild of Cowpea,Yeild of Bengal Gram,Yeild of Other Pulses,Yeild of Total Pulses,Yeild of Total Food Grains,srcDistrictName,YearCode,Year
Karnataka,Bhatkal,2019-20,655,731,492,277,919,511,731,650,444,2526,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bidar,2019-20,1275,801,516,497,974,358,809,650,931,942,BIDAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bijapur,2019-20,581,745,159,119,889,336,692,151,553,711,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bramhavara,2019-20,729,698,507,238,1034,455,782,742,503,2810,UDUPI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Byadagi,2019-20,565,444,474,243,1032,496,575,559,452,1694,HAVERI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Athani,2019-20,432,864,433,327,885,297,818,238,627,1651,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bailhongal,2019-20,1009,865,696,682,981,297,1076,238,1016,1558,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Belagavi,2019-20,655,865,437,361,1049,282,441,238,736,2353,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bilagi,2019-20,623,704,475,184,961,408,998,193,892,2682,BAGALKOTE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bynduru,2019-20,655,698,406,259,1049,469,731,650,553,2836,UDUPI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chadachana,2019-20,314,550,159,219,861,427,496,151,322,463,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Challakere,2019-20,247,911,437,134,948,344,817,613,637,1521,CHITRADURGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Channagiri,2019-20,486,349,499,343,885,508,537,706,553,3399,DAVANGERE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Channarayapatna,2019-20,433,448,273,250,668,297,868,773,473,2209,HASSAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chikkodi,2019-20,161,329,570,451,916,302,845,238,800,2879,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chikmagalur,2019-20,729,1312,437,200,910,312,591,1893,1021,2936,CHIKKAMAGALURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chiknayakanahalli,2019-20,304,805,297,239,865,197,515,650,717,1430,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chincholi,2019-20,841,801,720,628,885,307,1100,452,829,1004,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chitradurga,2019-20,579,1074,437,123,909,379,663,699,686,2393,CHITRADURGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chittaguppa,2019-20,1342,797,529,576,1049,351,628,533,1122,1233,BIDAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chittapur,2019-20,869,731,605,769,1049,331,1123,773,864,916,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Dandelli,2019-20,655,683,437,277,919,514,731,650,484,2733,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Davanagere,2019-20,629,328,506,371,920,397,537,666,632,3687,DAVANGERE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Devanahalli,2019-20,1160,797,495,371,865,303,782,588,817,2258,BENGALURU RURAL,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Devara Hipparagi,2019-20,463,497,159,131,923,445,595,151,502,650,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Devdurga,2019-20,547,655,495,330,919,349,1752,687,583,2118,RAICHUR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Dharwad,2019-20,505,595,540,346,988,359,732,883,592,1244,DHARWAD,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Doddaballapura,2019-20,1160,835,495,371,870,309,782,639,927,2695,BENGALURU RURAL,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Gadag,2019-20,647,479,495,201,929,298,645,738,465,855,GADAG,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Gajendragad,2019-20,468,629,495,237,873,337,744,696,497,875,GADAG,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Gangavathi,2019-20,473,447,437,478,919,514,557,650,518,3583,KOPPAL,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Gokak,2019-20,379,858,437,162,956,349,696,238,688,3515,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Gubbi,2019-20,306,759,315,41,866,498,515,650,708,1328,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Gulbarga,2019-20,874,801,481,655,901,365,1100,773,882,974,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Guledagudda,2019-20,586,612,437,261,1049,497,692,193,317,1292,BAGALKOTE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hadagali,2019-20,494,770,503,307,893,501,647,521,572,2768,VIJAYANAGAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hagaribommanahalli,2019-20,862,673,464,482,917,490,687,712,613,2755,VIJAYANAGAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Haliyal,2019-20,655,683,515,276,1049,493,782,461,504,2993,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hangal,2019-20,565,567,117,265,994,481,516,773,374,1637,HAVERI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Harapanahalli,2019-20,1245,790,320,275,940,497,506,542,962,3353,VIJAYANAGAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Harihar,2019-20,486,349,500,283,957,459,537,650,645,3558,DAVANGERE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hassan,2019-20,433,496,273,125,622,379,384,773,423,3626,HASSAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Haveri,2019-20,536,611,492,305,994,435,505,459,497,1333,HAVERI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hebri,2019-20,655,698,510,190,919,252,731,650,461,2894,UDUPI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hirekerur,2019-20,398,617,437,240,917,493,666,658,611,3009,HAVERI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hiriyur,2019-20,262,822,495,128,891,296,688,650,643,889,CHITRADURGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Holalkere,2019-20,843,800,495,123,887,296,789,709,792,3516,CHITRADURGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Holenarasipura,2019-20,433,787,273,125,646,322,384,773,557,2159,HASSAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Honnali,2019-20,653,296,492,361,926,405,638,666,494,3413,DAVANGERE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Honnavar,2019-20,655,731,502,183,919,469,731,650,483,2394,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
